iter	MultiClass
0	3.59610279
1	3.487792806
2	3.389982088
3	3.315443346
4	3.256950406
5	3.20152146
6	3.147973771
7	3.101846721
8	3.034188468
9	2.987520943
10	2.930343745
11	2.894228168
12	2.846564568
13	2.806697534
14	2.772397199
15	2.739395695
16	2.696504505
17	2.657094696
18	2.61395912
19	2.584467778
20	2.564874741
21	2.527315621
22	2.497612251
23	2.467729211
24	2.444039522
25	2.408507508
26	2.385964296
27	2.356581244
28	2.331712883
29	2.303607688
30	2.281693242
31	2.252195558
32	2.237762075
33	2.216314935
34	2.197207578
35	2.167330879
36	2.144802788
37	2.121177976
38	2.096923096
39	2.079174081
40	2.065074086
41	2.048826987
42	2.027673336
43	2.009575873
44	1.990149987
45	1.97039614
46	1.951855111
47	1.931956715
48	1.912925941
49	1.89797686
50	1.884995538
51	1.868693806
52	1.855424361
53	1.838723939
54	1.822023192
55	1.805781621
56	1.787986265
57	1.774267074
58	1.763175952
59	1.749444078
60	1.736763725
61	1.724755713
62	1.716438997
63	1.706840848
64	1.696950185
65	1.686346043
66	1.674717698
67	1.662215551
68	1.652069285
69	1.64120336
70	1.631883579
71	1.619807601
72	1.609747837
73	1.598423874
74	1.588153383
75	1.578587753
76	1.570119984
77	1.561595794
78	1.549615911
79	1.541023917
80	1.532455175
81	1.521253811
82	1.511370791
83	1.499677243
84	1.491518573
85	1.482265131
86	1.473154287
87	1.463859545
88	1.454072457
89	1.443994807
90	1.435646222
91	1.427742993
92	1.421724922
93	1.412509528
94	1.404375085
95	1.395797562
96	1.389472994
97	1.381384403
98	1.374503426
99	1.366698731
100	1.359753934
101	1.352779138
102	1.346353272
103	1.33927108
104	1.332471402
105	1.325385877
106	1.319642353
107	1.312606664
108	1.30826514
109	1.304561324
110	1.298322446
111	1.291818208
112	1.286454024
113	1.279757108
114	1.272561179
115	1.265817922
116	1.260475771
117	1.254937527
118	1.25026349
119	1.245108814
120	1.23984349
121	1.234573695
122	1.228859682
123	1.223684031
124	1.218668701
125	1.21313127
126	1.207755948
127	1.203285565
128	1.197555618
129	1.193479779
130	1.18720017
131	1.181147466
132	1.177529583
133	1.172507343
134	1.168218419
135	1.163507798
136	1.159487973
137	1.154851496
138	1.150626311
139	1.1460904
140	1.142836981
141	1.137529219
142	1.133473135
143	1.128982915
144	1.124871954
145	1.121603006
146	1.117492371
147	1.113800669
148	1.109250287
149	1.105672485
150	1.101386163
151	1.098305666
152	1.094404863
153	1.090021876
154	1.085241175
155	1.081535408
156	1.077867689
157	1.074139158
158	1.070954924
159	1.066830386
160	1.062163585
161	1.05776442
162	1.054875382
163	1.051616759
164	1.049091452
165	1.045259428
166	1.0419291
167	1.038597795
168	1.03406278
169	1.030925211
170	1.028089098
171	1.024849581
172	1.021936966
173	1.01827445
174	1.014813799
175	1.012231502
176	1.009205394
177	1.005586211
178	1.001546956
179	0.9984662148
180	0.9960677343
181	0.9920564462
182	0.9886785578
183	0.985240183
184	0.9819933484
185	0.9791878857
186	0.9764157555
187	0.9740859726
188	0.9715552189
189	0.9694141308
190	0.9670159756
191	0.9643992889
192	0.9613339135
193	0.9596867163
194	0.9563592332
195	0.9545269997
196	0.9516907246
197	0.9485648629
198	0.9464884887
199	0.943869607
200	0.9412997484
201	0.9377073122
202	0.9360454812
203	0.9325457258
204	0.9304429295
205	0.9281541213
206	0.9251599637
207	0.9230700127
208	0.9209476233
209	0.9180789913
210	0.9161178177
211	0.9135723489
212	0.911004035
213	0.9080910951
214	0.9062430896
215	0.9025721999
216	0.8998306381
217	0.8973782565
218	0.8949921335
219	0.8930961617
220	0.8913236015
221	0.8894816934
222	0.8866246872
223	0.8845502642
224	0.8819186998
225	0.8804467017
226	0.878329109
227	0.8751988571
228	0.8724842865
229	0.8700503598
230	0.8679452871
231	0.8650047869
232	0.8624401315
233	0.8599917335
234	0.85760683
235	0.855107295
236	0.852574834
237	0.8501136721
238	0.8473124369
239	0.8455093897
240	0.8429663598
241	0.8398868384
242	0.8375304708
243	0.8358101046
244	0.8336891787
245	0.8309124144
246	0.8294001734
247	0.826923646
248	0.825301245
249	0.8233854362
250	0.8212197958
251	0.8194740643
252	0.8176453267
253	0.8149455525
254	0.8134689204
255	0.8109522314
256	0.8087351288
257	0.8069043587
258	0.8043453129
259	0.8029885967
260	0.7999098883
261	0.7974544173
262	0.7950868305
263	0.7932258172
264	0.7912152138
265	0.7894820837
266	0.7868036098
267	0.7851967369
268	0.7831083305
269	0.7813104051
270	0.7799778347
271	0.7781921854
272	0.7757980951
273	0.7736457878
274	0.7720298094
275	0.7701147323
276	0.7686550104
277	0.7665605878
278	0.7643052748
279	0.7629748994
280	0.7612885162
281	0.7589413354
282	0.7567721992
283	0.7553983289
284	0.7539264121
285	0.7526814006
286	0.7507246172
287	0.7490236001
288	0.7469624288
289	0.7454472611
290	0.7437384393
291	0.7416812517
292	0.7392137485
293	0.7377327263
294	0.73591472
295	0.7347043419
296	0.7331193383
297	0.7314688079
298	0.7299801436
299	0.7284092047
300	0.7270701304
301	0.725937474
302	0.7238729695
303	0.7220292728
304	0.7207531238
305	0.719559981
306	0.7181253805
307	0.7166511061
308	0.7152171559
309	0.7142266913
310	0.7123166547
311	0.7111733481
312	0.7095106228
313	0.7082339048
314	0.7060919224
315	0.7046930121
316	0.7030818303
317	0.7010621215
318	0.6994784187
319	0.6980472327
320	0.6967585637
321	0.6951377886
322	0.6937534308
323	0.692613051
324	0.6913400727
325	0.6901383935
326	0.6886711921
327	0.6871627721
328	0.6857450817
329	0.6842883679
330	0.6825533679
331	0.6812516504
332	0.6801812689
333	0.6782041607
334	0.677250931
335	0.6757347064
336	0.6746282689
337	0.6732814305
338	0.672237959
339	0.6711432692
340	0.6693630669
341	0.6682202482
342	0.6672727907
343	0.6660394049
344	0.6649699178
345	0.6636121853
346	0.662226608
347	0.6610418797
348	0.6597128457
349	0.6583184475
350	0.6574680203
351	0.6562335776
352	0.6551799438
353	0.6543861412
354	0.6527244728
355	0.6513276762
356	0.649603367
357	0.6486927786
358	0.6477409309
359	0.6463518578
360	0.6453172479
361	0.6440430907
362	0.6425368658
363	0.6412557169
364	0.6403505755
365	0.6393349896
366	0.6379348597
367	0.6365847694
368	0.6354747954
369	0.6346535951
370	0.6333378942
371	0.6321645883
372	0.6310298588
373	0.6301411804
374	0.6294297337
375	0.6283345967
376	0.6274545767
377	0.6262049311
378	0.6253149926
379	0.6245168406
380	0.623589342
381	0.6225590409
382	0.621299924
383	0.6201426747
384	0.6193922045
385	0.618343977
386	0.617122095
387	0.6159973246
388	0.6149432436
389	0.6141907815
390	0.6130687347
391	0.6124513507
392	0.611377636
393	0.6100477891
394	0.6089017997
395	0.6079666183
396	0.6068220923
397	0.6052431862
398	0.6043891411
399	0.6036026961
400	0.6026526777
401	0.6016442867
402	0.6006378469
403	0.6000542833
404	0.599260684
405	0.5982661138
406	0.5975656424
407	0.5966082258
408	0.5954041076
409	0.5945378271
410	0.5934043983
411	0.5924890946
412	0.5911733124
413	0.590134922
414	0.5892129111
415	0.5887094676
416	0.5874124248
417	0.5864282609
418	0.5853984882
419	0.5845153788
420	0.5838885642
421	0.5829108636
422	0.5818756845
423	0.581254317
424	0.5804605957
425	0.5795728523
426	0.57846361
427	0.5778764286
428	0.5767405609
429	0.5758196475
430	0.5750266579
431	0.5745542299
432	0.5736214876
433	0.5728663426
434	0.5719945744
435	0.5710106544
436	0.5697196684
437	0.5689979373
438	0.5683674642
439	0.5673006193
440	0.5667973384
441	0.5662332053
442	0.5656805353
443	0.5645478789
444	0.563757247
445	0.5630095409
446	0.5622014704
447	0.5614108385
