iter	Passed	Remaining
0	11	3514
1	27	4140
2	41	4132
3	52	3906
4	63	3754
5	74	3670
6	88	3691
7	100	3685
8	111	3599
9	126	3668
10	139	3652
11	149	3576
12	161	3566
13	176	3601
14	187	3560
15	203	3614
16	220	3662
17	236	3698
18	245	3636
19	255	3583
20	267	3556
21	283	3587
22	298	3599
23	311	3580
24	326	3592
25	340	3583
26	352	3563
27	366	3564
28	376	3521
29	386	3481
30	397	3445
31	406	3408
32	420	3399
33	435	3408
34	445	3375
35	456	3347
36	466	3319
37	479	3303
38	494	3306
39	509	3312
40	524	3310
41	538	3305
42	554	3314
43	569	3313
44	583	3304
45	593	3274
46	602	3243
47	611	3211
48	622	3186
49	633	3168
50	643	3143
51	653	3115
52	662	3086
53	674	3072
54	689	3072
55	704	3069
56	714	3046
57	723	3020
58	733	2995
59	744	2977
60	759	2975
61	768	2951
62	786	2958
63	798	2943
64	809	2926
65	819	2907
66	829	2883
67	837	2858
68	847	2837
69	857	2818
70	868	2800
71	877	2779
72	887	2759
73	897	2740
74	906	2718
75	916	2700
76	927	2685
77	936	2664
78	945	2646
79	957	2632
80	968	2617
81	977	2597
82	989	2587
83	998	2567
84	1008	2549
85	1020	2539
86	1033	2531
87	1044	2517
88	1055	2502
89	1068	2492
90	1077	2474
91	1086	2456
92	1098	2445
93	1108	2429
94	1117	2412
95	1128	2398
96	1139	2385
97	1149	2369
98	1159	2353
99	1174	2348
100	1183	2331
101	1192	2314
102	1203	2301
103	1212	2285
104	1222	2270
105	1231	2254
106	1241	2239
107	1251	2224
108	1261	2209
109	1270	2194
110	1279	2178
111	1289	2164
112	1301	2154
113	1311	2139
114	1320	2124
115	1329	2109
116	1338	2093
117	1348	2079
118	1358	2065
119	1368	2052
120	1378	2038
121	1387	2023
122	1396	2010
123	1407	1997
124	1416	1983
125	1425	1969
126	1436	1957
127	1446	1943
128	1455	1929
129	1464	1915
130	1475	1902
131	1484	1889
132	1495	1877
133	1505	1864
134	1519	1856
135	1528	1843
136	1538	1830
137	1548	1817
138	1558	1804
139	1566	1790
140	1575	1776
141	1585	1763
142	1594	1750
143	1603	1737
144	1613	1724
145	1623	1712
146	1632	1699
147	1642	1686
148	1651	1674
149	1661	1661
150	1671	1648
151	1680	1636
152	1691	1625
153	1701	1612
154	1710	1600
155	1719	1587
156	1729	1574
157	1738	1562
158	1748	1550
159	1757	1537
160	1767	1525
161	1776	1513
162	1786	1501
163	1795	1489
164	1805	1477
165	1816	1466
166	1826	1454
167	1835	1442
168	1846	1430
169	1855	1419
170	1866	1407
171	1876	1396
172	1885	1383
173	1893	1371
174	1902	1359
175	1912	1347
176	1922	1335
177	1932	1324
178	1941	1312
179	1951	1301
180	1962	1290
181	1976	1281
182	1986	1269
183	1995	1258
184	2004	1246
185	2014	1234
186	2024	1223
187	2033	1211
188	2045	1201
189	2055	1189
190	2064	1178
191	2075	1167
192	2089	1158
193	2099	1147
194	2109	1135
195	2118	1123
196	2127	1112
197	2137	1101
198	2147	1089
199	2156	1078
200	2165	1066
201	2175	1055
202	2185	1044
203	2199	1035
204	2209	1023
205	2222	1014
206	2236	1004
207	2250	995
208	2260	984
209	2269	972
210	2279	961
211	2289	950
212	2299	939
213	2310	928
214	2319	916
215	2329	905
216	2338	894
217	2347	883
218	2356	871
219	2366	860
220	2377	849
221	2393	840
222	2403	829
223	2414	819
224	2426	808
225	2435	797
226	2445	786
227	2454	775
228	2465	764
229	2476	753
230	2485	742
231	2494	731
232	2504	720
233	2514	709
234	2523	698
235	2534	687
236	2544	676
237	2553	665
238	2564	654
239	2578	644
240	2588	633
241	2596	622
242	2605	611
243	2615	600
244	2624	589
245	2634	578
246	2647	568
247	2656	557
248	2666	546
249	2675	535
250	2684	524
251	2694	513
252	2703	502
253	2712	491
254	2720	480
255	2730	469
256	2742	458
257	2755	448
258	2764	437
259	2775	426
260	2785	416
261	2800	406
262	2810	395
263	2819	384
264	2829	373
265	2838	362
266	2847	351
267	2857	341
268	2868	330
269	2881	320
270	2891	309
271	2899	298
272	2908	287
273	2919	277
274	2929	266
275	2938	255
276	2948	244
277	2957	234
278	2966	223
279	2976	212
280	2986	201
281	2996	191
282	3004	180
283	3018	170
284	3028	159
285	3038	148
286	3048	138
287	3057	127
288	3069	116
289	3079	106
290	3088	95
291	3098	84
292	3107	74
293	3116	63
294	3126	52
295	3136	42
296	3145	31
297	3154	21
298	3164	10
299	3175	0
